ID,Contributor,Language_ID,Language_Name,BibTexKey,Filename,MetadataComments,PhoibleID,ClosestNeighbor
1,Einav Levanon,abau1245,,bailey1975abau,,,,
2,Elad Eisen,abui1241,,kratochvil2007abui,,,,
3,Einav Levanon,abun1252,,berry1999abun,,,,
4,Einav Levanon,achi1257,,asyik1987achinese,,,,
5,NA,agua1253,,overall2017aguaruna,,,,
6,Einav Levanon,musa1266,,daniels2015sogeram,,,,
7,NA,akaj1239,,abbi2013greatandamanese,,,,
8,Elad Eisen,aleu1260,,bergsland1997aleut,,,,
9,KurdistanDB,alqo1238,,coghill2004alqosh,,,,
10,Einav Levanon,amap1240,,aarsjo1999ama,,,,
13,Einav Levanon,wara1294,,dohler2016komnzo,,,,
14,KurdistanDB,arbe1239,,khan1999arbel,,,,
15,Elad Eisen,stan1288,,honsa1965argentinianspanish,,glottocode is for Standard Spanish,,
16,Einav Levanon,asil1242,,collins2003asilulu,,,,
17,Steven Moran,awiy1238,,Bees1965,auy_SPA1979_phon.pdf,,57,
18,Elad Eisen,bafu1246,,tamanji2009bafut,,,,
19,Eitan Grossman,bamb1262,,ahland2009bambassi,,,,
20,Dmitry Nikolaev,bash1264,,poppe1964bashkir,,,,
21,Steven Moran,basq1248,,"Ndiaye1970,Gavel1929",eus_SPA1979_phon.pdf,,179,
22,KurdistanDB,bazz1238,,mutzafi2000maha_khtaya,,,,
23,Dmitry Nikolaev,bela1254,,mayo1993belorussian,,,,
24,Steven Moran,beng1280,,FergusonChowdhury1960,ben_SPA1979_phon.pdf,,177,
25,KurdistanDB,beta1257,,mutzafi2008betanure,,,,
26,Dmitry Nikolaev,bett1235,,coelho2003bettakurumba,,,,
27,Elad Eisen,biak1248,,heuvel2006biak,,,,
28,Einav Levanon,bier1244,,budd2010bierebo,,,,
29,KurdistanDB,boht1238,,fox2009bohtan,,,,
30,Steven Moran,bret1244,,Ternes1970,bre_SPA1979_phon.pdf,,157,
31,Steven Moran,bulg1262,,"Aronson1968,Klagstad1958",bul_SPA1979_phon.pdf,,167,
32,Eitan Grossman,nucl1310,,wheatley2003burmese,,,,
33,Steven Moran,buru1296,,Morgenstierne1945,bsk_SPA1979_phon.pdf,,6,
34,David Ginebra,cahu1264,,seiler1977cahuilla,,,,
35,Dmitry Nikolaev,cast1244,,"martinez2003castilian, frias2001spanish",,,,
36,NA,cent2142,,hardman2001aymara,,,,
37,Steven Moran,cent2050,,Lukas1937,knc_SPA1979_phon.pdf,,150,
38,KurdistanDB,azer1255,,schoenig2015azerbaijanian,,,,
39,KurdistanDB,lish1247,,fassberg2010challa,,,,
40,Elad Eisen,cher1273,,montgomery2008cherokee,,,,
41,Eitan Grossman,chil1281,,galloway1977chilliwack,,,,
42,Eitan Grossman,chim1300,,jimenez2014chimalapazoque,,,,
43,Steven Moran,chiq1250,,PikePike1947,maq_SPA1979_phon.pdf,,99,
44,Eitan Grossman,chol1282,,vasquez2011chol,,,,
45,Eitan Grossman,chol1284,,adelaar2004cholon,,,,
47,Dmitry Nikolaev,chuv1255,,"clark1998chuvash, Kruger1961,Andreev1966",,,,
48,Eitan Grossman,coat1238,,elson1992mixezoque,,,,
49,Einav Levanon,coco1260,,adelaar1996cocosmalay,,,,
50,Steven Moran,copa1236,,Wonderly1951,zoc_SPA1979_phon.pdf,,83,
51,Eitan Grossman,copt1239,,layton2011coptic,,,,
52,NA,crow1244,,graczyk2007crow,,,,
54,NA,cupe1243,,hill2005cupeno,,,,
55,Eitan Grossman,daur1238,,tsumagari2003dagur,,,,
56,Dmitry Nikolaev,dame1241,,"bashir2007dardic, morgenstierne1942dameli",,,,
57,KurdistanDB,diml1238,,todd2003dimili,,,,
58,Einav Levanon,duka1248,,desousa2006menggwa,,,,
59,Einav Levanon,dusn1237,,dalrymple2012dusner,,,,
60,Einav Levanon,east2440,,bowden2001taba,,,,
61,Steven Moran,nucl1235,,Allen1950,hye_SPA1979_phon.pdf,,171,
62,Einav Levanon,east2495,,gossner1998easternedolo,,,,
63,Steven Moran,east2328,,Ristinen1960,mhr_SPA1979_phon.pdf,,181,
64,Steven Moran,east2542,,Bloomfield1957,ojg_SPA1979_phon.pdf,,72,
65,Steven Moran,panj1256,,GillGleason1963,pan_SPA1979_phon.pdf,,175,
66,Steven Moran,egyp1253,,"Mitchell1962,Tomiche1964,Kennedy1960",arz_SPA1979_phon.pdf,,132,
67,Steven Moran,stan1293,,"OConner1973,Gimson1962,Halle1973,Fudge1975,Trnka1968",eng_SPA1979_phon.pdf,,160,
68,Dmitry Nikolaev,esto1258,,"hebedova2013estonian, asu2009estonian",,,,
69,Steven Moran,even1260,,Novikova1960,eve_SPA1979_phon.pdf,,192,
70,Elad Eisen,ewee1241,,pasch1995ewe,,,,
71,Lotta Jalava,finn1318,,hakulinen2004finnish,,,,
72,Lotta Jalava,fore1274,,salminen2007forestnenets,,,,
74,Einav Levanon,gant1244,,daniels2015sogeram,,,,
75,Steven Moran,garo1247,,Burling1961,grt_SPA1979_phon.pdf,,24,
76,KurdistanDB,gawh1238,,stilo2004vafsi,,,,
77,NA,gayo1244,,eades2005gayo,,,,
78,Steven Moran,nucl1302,,"RobinsWaterson1952,Selmer1935,Tschenkeli1958,Vogt1938,Vogt1939,Vogt1958,Vogt1971",kat_SPA1979_phon.pdf,,5,
79,Elad Eisen,stan1295,,wiese1996german,,,,
80,Dmitry Nikolaev,gran1245,,"bashir2007dardic, grjunberg1971grangali_zemiaki",,,,
81,Einav Levanon,gras1249,,dutton2003koiari,,,,
83,Eitan Grossman,guer1243,,steward2000guerreroamuzgo,,,,
86,KurdistanDB,hert1242,,jastrow1988hertevin,,,,
87,Linda Konnerth,karb1241,,konnerth2014karbi,,,,
89,Eitan Grossman,hueh1236,,kung2007tepehua,,,,
90,Steven Moran,hung1274,,"Kalman1972,Banhidi_etal1965,Hall1938,Hall1944",hun_SPA1979_phon.pdf,,183,
91,Steven Moran,hupa1239,,"Golla1970,Woodward1964",hup_SPA1979_phon.pdf,,65,
92,Steven Moran,igna1246,,OttOtt1967,ign_SPA1979_phon.pdf,,111,
93,Steven Moran,iris1253,,"Fhailigh1968,Florence1970",gle_SPA1979_phon.pdf,,156,
94,Elad Eisen,itza1241,,hofling2000itzajmaya,,,,
95,Eitan Grossman,jams1239,,heath2008jamsay,heath2008jamsay.pdf,,,
96,Elad Eisen,nucl1643,,labrune2012japanese,,,,
97,Rammie Cahlon,jauj1238,,wroughton1996jaujaquechua,,,,
98,KurdistanDB,jilu1238,,fox1997jilu,,,,
99,Steven Moran,kaba1278,,Kuipers1960,kbd_SPA1979_phon.pdf,,4,
100,Elad Eisen,kaby1243,,kossmann2013kabyle,,,,
101,Eitan Grossman,kala1399,,fortescue1984kalallisuut,,,,
102,Dmitry Nikolaev,kala1374,,"bashir2007dardic, baart1995kalam, baart1997kalam",,,,
103,Einav Levanon,kaur1271,,auri1991kaure,,,,
104,Eitan Grossman,kawa1283,,zigmond1990kawaiisu,,,,
105,Chingduang Yurayong,kaza1248,,"kirchner1998kazakhkarakalpak, mccollum2018kazakh",,,,
106,Dmitry Nikolaev,nort2672,,kaksin2007kazym_khanty,,,,
107,Steven Moran,khan1273,,"Gulya1966,Steinitz1950,Katz1975",kca_SPA1979_phon.pdf,,184,
108,Einav Levanon,kend1254,,adelaar2005salako,,,,
109,Eitan Grossman,kham1281,,janhunen2003khamniganmongol,,,,
110,Eitan Grossman,khit1238,,lowe1999nambiquara,,,,
111,NA,khva1239,,khalilova2009khwarshi,,,,
112,KurdistanDB,nort3142,,jastrow2006anatolianarabic,,,,
113,Einav Levanon,kipu1237,,blust2003short,,,,
114,Einav Levanon,koki1244,,bradshaw2012koki,,,,
115,Einav Levanon,kome1238,,abdurrahman1979komering,,,,
116,Dmitry Nikolaev,komi1269,,majshev1940komi_permjak,,,,
117,Dmitry Nikolaev,komi1277,,lytkin1961komi_yazva,,,,
118,Dmitry Nikolaev,komi1268,,lytkin1955komi,,,,
119,Einav Levanon,kona1242,,aarsjo2016konai,,,,
120,Einav Levanon,kora1295,,farr1974korafe,,,,
122,KurdistanDB,koys1241,,mutzafi2004koysanjaq,,,,
123,Eitan Grossman,koyr1240,,heath1999koyrachiini,,,,
125,Rammie Cahlon,culi1244,,dienst2014kulina,,,,
126,Steven Moran,kuru1302,,"Pinnow1964,Pfeiffer1972,Grignard1924",kru_SPA1979_phon.pdf,,7,
127,Eitan Grossman,kute1249,,morgan1991kutenai,,,,
128,Steven Moran,lahu1253,,Matisoff1973,lhu_SPA1979_phon.pdf,,23,
129,Eitan Grossman,lavu1241,,terrill2011lavukaleve,,,,
130,Dmitry Nikolaev,lith1251,,balode2001lithuanian,,,,
131,NA,logb1245,,dorvlo2008logba,,,,
132,Einav Levanon,louu1245,,blust1998lou,,,,
133,Steven Moran,luok1236,,Gregersen1961,luo_SPA1979_phon.pdf,,153,
134,Einav Levanon,nucl1460,,davies2010madurese,,,,
135,Einav Levanon,maka1317,,correia2011makasae,,,,
136,NA,makl1245,,huber2011makalero,,,,
137,NA,mamm1241,,england1983mam,,,,
138,Elad Eisen,mamb1294,,anonby2011mambay,,,,
139,NA,mana1298,,aikhenvald2010manambu,,,,
140,Einav Levanon,payn1244,,daniels2015sogeram,,,,
141,KurdistanDB,nucl1706,,haeberl2015neomandaic,,,,
142,NA,mang1381,,merlan1989mangarayi,,,,
143,Eitan Grossman,mapu1245,,adelaar2004andes,,,,
144,Steven Moran,marg1265,,Hoffmann1963,mrt_SPA1979_phon.pdf,,126,
145,Einav Levanon,mauw1238,,berghall2015mauwake,,,,
146,Einav Levanon,maib1239,,dol2007maybrat,,,,
147,Einav Levanon,mehe1243,,hatfield2016mehek,,,,
148,Steven Moran,mezq1235,,BlightEunice1976,ote_SPA1979_phon.pdf,,97,
149,Einav Levanon,mian1256,,fedden2007mian,,,,
150,Einav Levanon,miga1241,,migabac2005mcevoy,,,,
151,KurdistanDB,mlah1239,,jastrow2011turoyomlahso,,,,
152,Elad Eisen,hebr1245,,schwarzwald2011modernhebrew,,,,
153,Eitan Grossman,mong1330,,skribnik2003buryat,,,,
154,Elad Eisen,mong1331,,svantesson2005mongolian,,,,
156,Einav Levanon,mudu1242,,bachet2006muduapa,,,,
157,Dmitry Nikolaev,munj1244,,williamson2017munji,,,,
158,NA,musq1240,,suttles2004musqueam,,,,
159,Einav Levanon,muss1246,,brownie2007mussau,,,,
160,Einav Levanon,sout2857,,dimock2009nahavaq,,,,
161,Einav Levanon,naka1262,,chowning2016nakanai,,,,
162,Steven Moran,nama1265,,Beach1938,naq_SPA1979_phon.pdf,,155,
163,Steven Moran,nava1243,,SapirHoijer1967,nav_SPA1979_phon.pdf,,66,
164,Dmitry Nikolaev,naxi1245,,michailovsky2006naxi,,,,
165,Einav Levanon,ngka1235,,carroll2016ngkolmpu,,,,
166,Eitan Grossman,nhan1238,,blevins2001nhanda,,,,
167,Einav Levanon,nucl1633,,"may1997nimboran, anceaux2013nimboran",,,,
168,Dmitry Nikolaev,noga1249,,"csato1998noghay, baskakov1996noghay",,,,
