ID,Language_ID,Language_Name,Source
1,abau1245,Abau,
2,abui1241,Abui,
3,abun1252,Abun,
4,achi1257,Achinese,
5,agua1253,Aguaruna,
6,musa1266,Aisi,
7,akaj1239,Aka-Jeru,
8,aleu1260,Aleut,
9,alqo1238,Alqosh,
10,amap1240,Ama (Papua New Guinea),
13,wara1294,Anta-Komnzo-Wára-Wérè-Kémä,
14,arbe1239,Arbel,
15,stan1288,Argentinian Spanish,
16,asil1242,Asilulu,
17,awiy1238,Awiyaana,
18,bafu1246,Bafut,
19,bamb1262,Bambassi,
20,bash1264,Bashkir,
21,basq1248,Basque,
22,bazz1238,Baz,
23,bela1254,Belarusian,
24,beng1280,Bengali,
25,beta1257,Bétanure,
26,bett1235,Betta Kurumba,
27,biak1248,Biak,
28,bier1244,Bierebo,
29,boht1238,Bohtan Neo-Aramaic,
30,bret1244,Breton,
31,bulg1262,Bulgarian,
32,nucl1310,Burmese,
33,buru1296,Burushaski,
34,cahu1264,Cahuilla,
35,cast1244,Castilian,
36,cent2142,Central Aymara,
37,cent2050,Central Kanuri,
38,azer1255,Central Oghuz,
39,lish1247,Challa Neo-Aramaic (Jewish NENA),
40,cher1273,Cherokee,
41,chil1281,Chiliwack,
42,chim1300,Chimalapa Zoque,
43,chiq1250,Chiquihuitlán Mazatec,
44,chol1282,Chol,
45,chol1284,Cholón,
47,chuv1255,Chuvash,
48,coat1238,Coatlán Mixe,
49,coco1260,Cocos Islands Malay,
50,copa1236,Copainalá Zoque,
51,copt1239,Coptic,
52,crow1244,Crow,
54,cupe1243,Cupeño,
55,daur1238,Dagur,
56,dame1241,Dameli,
57,diml1238,Dimli,
58,duka1248,Duka-Ekor,
59,dusn1237,Dusner,
60,east2440,East Makian,
61,nucl1235,Eastern Armenian,
62,east2495,Eastern Edolo,
63,east2328,Eastern Mari,
64,east2542,Eastern Ojibwa,
65,panj1256,Eastern Panjabi,
66,egyp1253,Egyptian Arabic,
67,stan1293,English,
68,esto1258,Estonian,
69,even1260,Even,
70,ewee1241,Ewe,
71,finn1318,Finnish,
72,fore1274,Forest Nenets,
74,gant1244,Gants,
75,garo1247,Garo,
76,gawh1238,Gawraju Gorani,
77,gayo1244,Gayo,
78,nucl1302,Georgian,
79,stan1295,German,
80,gran1245,Grangali,
81,gras1249,Grass Koiari,
83,guer1243,Guerrero Amuzgo,
86,hert1242,Hértevin Proper,
87,karb1241,Hills Karbi,
89,hueh1236,Huehuetla Tepehua,
90,hung1274,Hungarian,
91,hupa1239,Hupa,
92,igna1246,Ignaciano,
93,iris1253,Irish,
94,itza1241,Itzá,
95,jams1239,Jamsay Dogon,
96,nucl1643,Japanese,
97,jauj1238,Jauja Wanca Quechua,
98,jilu1238,Jilu,
99,kaba1278,Kabardian,
100,kaby1243,Kabyle,
101,kala1399,Kalaallisut,
102,kala1374,Kalam (Pakistan),
103,kaur1271,Kaure-Narau,
104,kawa1283,Kawaiisu,
105,kaza1248,Kazakh,
106,nort2672,Kazym Khanty,
107,khan1273,Kazym-Berezover-Suryskarer Khanty,
108,kend1254,Kendayan,
109,kham1281,Khamnigan Mongol,
110,khit1238,Khithaulhu,
111,khva1239,Khwarshi-Inkhoqwari,
112,nort3142,Anatolian Arabic,
113,kipu1237,Kiput,
114,koki1244,Koki,
115,kome1238,Komering,
116,komi1269,Komi-Permyak,
117,komi1277,Komi-Yazva,
118,komi1268,Komi-Zyrian,
119,kona1242,Konai,
120,kora1295,Korafe,
122,koys1241,Koy Sanjaq Neo-Aramaic,
123,koyr1240,Koyra Chiini Songhay,
125,culi1244,Culina,
126,kuru1302,Kurukh,
127,kute1249,Kutenai,
128,lahu1253,Lahu,
129,lavu1241,Lavukaleve,
130,lith1251,Lithuanian,
131,logb1245,Logba,
132,louu1245,Lou,
133,luok1236,Luo (Kenya and Tanzania),
134,nucl1460,Madurese,
135,maka1317,Makasai,
136,makl1245,Maklere,
137,mamm1241,Mam,
138,mamb1294,Mambai,
139,mana1298,Manambu,
140,payn1244,Manat,
141,nucl1706,Mandaic,
142,mang1381,Mangarrayi,
143,mapu1245,Mapudungun,
144,marg1265,Marghi Central,
145,mauw1238,Mauwake,
146,maib1239,Maybrat-Karon,
147,mehe1243,Mehek,
148,mezq1235,Mezquital Otomi,
149,mian1256,Mian,
150,miga1241,Migabac,
151,mlah1239,Mlahsö,
152,hebr1245,Modern Hebrew,
153,mong1330,Mongolia Buriat,
154,mong1331,Mongolian,
156,mudu1242,Muduapa,
157,munj1244,Munji,
158,musq1240,Musqueam,
159,muss1246,Mussau-Emira,
160,sout2857,Nahavaq,
161,naka1262,Nakanai,
162,nama1265,Nama,
163,nava1243,Navajo,
164,naxi1245,Naxi,
165,ngka1235,Ngkontar Ngkolmpu,
166,nhan1238,Nhanda,
167,nucl1633,Nimboran,
168,noga1249,Nogai,
169,nort2697,North Azerbaijani,
170,mans1258,Northern Mansi,
172,bamb1262,Northern Mao (Bambassi),
173,nuuc1236,Nuu-chah-nulth,
174,ocot1243,Ocotepec Mixtec,
175,ocot1242,Ocotepec,
176,kalm1243,Oirad-Kalmyk,
177,oira1263,Oirata,
178,olut1240,Oluta Popoluca,
179,paez1247,Páez,
180,paiw1248,Paiwan,
181,para1311,Paraguayan Guaraní,
182,pina1252,Pinai-Hagahai,
183,pipi1250,Pipil,
184,pure1242,Purepecha,
185,chal1275,Qaraqosh Neo-Aramaic (Christian NENA),
186,quil1240,Quileute,
187,rama1270,Rama,
188,rian1263,Riantana,
189,saba1265,Sa'ban,
190,saek1240,Saek,
191,yaku1245,Sakha,
192,sanm1295,San Miguel El Grande Mixtec,
193,sana1291,Sanandaj,
194,sand1270,Sandong,
195,saqi1238,Saqiz,
196,savo1255,Savosavo,
197,sawe1240,Saweru,
198,nort3139,Sedentary Hatay Arabic,
199,shix1238,Shixing,
200,shor1247,Shor,
201,sinh1246,Sinhala,
202,skol1241,Skolt Saami,
203,nucl1634,Skou,
204,slav1254,Slavomolisano,
205,sooo1254,Sô,
206,soch1239,Sochiapam Chinantec,
207,sodd1242,Soddo,
208,soma1255,Somali,
209,sout2991,South Bolivian Quechua,
210,sout2982,Southeastern Pomo,
211,sout2961,Southern Tiwa,
212,sout2750,Southern Yukaghir,
213,sril1245,Sri Lanka Malay,
214,stan1306,Standard Malay,
215,suab1238,Suabo,
216,sule1243,Suleimaniya Neo-Aramaic,
217,sout2808,Sumayela Ndebele,
218,sumi1235,Sumi Naga,
220,taba1266,Tabasco Chontal,
221,tabr1242,Tabriz,
222,tafi1243,Tafi,
223,taga1270,Tagalog,
224,taki1251,Takivatan,
225,tapi1253,Tapieté,
226,tari1256,Tariana,
227,tata1255,Tatar,
228,taus1251,Tausug,
229,tauy1241,Tauya,
230,tele1256,Telefol,
231,telu1262,Telugu,
232,thao1240,Thao,
233,ticu1245,Ticuna,
234,kumi1248,Tipai,
235,tlac1235,Tlachichilco Tepehua,
236,tond1251,Tondano,
237,toto1305,Totontepec Mixe,
238,jeme1245,Towa,
239,tsha1245,Tshangla,
240,ttgr1237,TT-Group,
241,tuni1252,Tunica,
242,turk1303,Turkic Khalaj,
243,nucl1301,Turkish,
244,turk1304,Turkmen,
245,turo1239,Turoyo,
246,tzut1248,Tz'utujil,
247,tzel1254,Tzeltal,
248,udmu1245,Udmurt,
249,ughe1237,Ughele,
250,uigh1240,Uighur,
251,ukra1253,Ukrainian,
252,umra1238,Umraya,
253,urar1246,Urarina,
254,uzbe1247,Uzbek,
255,vafs1240,Vafsi,
256,waim1255,Waimaha,
257,wano1243,Wano,
258,want1252,Wantoat,
