ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,family_id,parent_id,bookkeeping,level,status,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
abau1245,Abau,,-3.97222,141.324,abau1245,aau,sepi1257,sepi1257,False,language,definitely endangered,,,0,0,0,PG
abip1241,Abipon,,-29.0,-61.0,abip1241,axb,guai1249,guai1250,False,language,extinct,,,0,0,0,AR
abua1245,Abu' Arapesh,,-3.461612,142.917031,abua1245,aah,nucl1708,buki1250,False,language,definitely endangered,,,0,0,0,PG
abui1241,Abui,,-8.31058,124.588,abui1241,abz,timo1261,alor1250,False,language,definitely endangered,,,0,0,3,ID
abun1252,Abun,,-0.57073,132.416,abun1252,kgr,,,False,language,definitely endangered,,,0,0,3,ID
achi1257,Achinese,,3.90757,96.6032,achi1257,ace,aust1307,cham1327,False,language,vulnerable,,,0,0,7,ID
adam1253,Adamawa Fulfulde,,8.140326,13.077338,adam1253,fub,atla1278,adam1260,False,language,safe,,,0,0,6,CM ER ET NG SD TD
agua1253,Aguaruna,,-5.30044,-77.9218,agua1253,agr,jiva1245,jiva1245,False,language,vulnerable,,,0,0,0,PE
agut1237,Agutaynen,,10.5328,119.655,agut1237,agn,aust1307,kala1389,False,language,safe,,,0,0,0,PH
akaj1239,Aka-Jeru,,13.1525,92.9504,akaj1239,akj,grea1241,jeru1239,False,language,critically endangered,,,0,0,1,IN
akla1241,Aklanon,,11.5543,122.354,akla1241,akl,aust1307,akla1240,False,language,safe,,,0,0,0,PH
akoy1238,Akoye,,-7.66067,145.669,akoy1238,miw,anga1289,tain1255,False,language,definitely endangered,,,0,0,0,PG
aleu1260,Aleut,,52.1228,-174.29,aleu1260,ale,eski1264,eski1264,False,language,definitely endangered,,,0,0,2,RU US
alor1247,Alorese,,-8.20382,124.264,alor1247,aol,aust1307,lama1293,False,language,safe,,,0,0,0,ID
alqo1238,Alqosh,,,,alqo1238,,afro1255,chal1275,False,dialect,safe,,,0,0,0,
amap1240,Ama (Papua New Guinea),,-4.20192,141.658,amap1240,amm,left1242,nucl1244,False,language,vulnerable,,,0,0,0,PG
amar1273,Amarasi,,-10.21751,123.96373,amar1273,aaz,aust1307,uabm1238,False,language,vulnerable,,,0,0,4,ID
ambo1250,Ambonese Malay,,-3.71342,128.184,ambo1250,abs,aust1307,ambo1253,False,language,safe,,,0,0,1,ID
amha1245,Amharic,,11.708182,39.543456,amha1245,amh,afro1255,amha1244,False,language,safe,,,0,0,0,DJ ET
anem1249,Anem,,-5.54836,148.993,anem1249,anz,,,False,language,definitely endangered,,,0,0,0,PG
anin1240,Anindilyakwa,,-13.99904,136.6415,anin1240,aoi,gunw1250,wubu1239,False,language,definitely endangered,,,0,0,0,AU
apal1257,Apalaí,,1.49792,-54.7457,apal1257,apy,cari1283,cari1283,False,language,definitely endangered,,,0,0,0,BR
apin1244,Apinayé,,-6.10774,-47.6315,apin1244,apn,nucl1710,core1264,False,language,definitely endangered,,,0,0,0,BR
apma1240,Apma,,-15.8559,168.189,apma1240,app,aust1307,sout3188,False,language,safe,,,0,0,5,VU
arab1267,Arabana,,-28.705,135.449,arab1267,ard,pama1250,arab1266,False,language,extinct,,,0,0,0,AU
aral1243,Aralle-Tabulahan,,-2.78397,119.319,aral1243,atq,aust1307,mata1312,False,language,safe,,,0,0,3,ID
arbe1239,Arbel,,,,arbe1239,,afro1255,west2766,False,dialect,safe,,,0,0,0,
arbo1245,Arbore,,4.92183,36.7986,arbo1245,arv,afro1255,west2723,False,language,definitely endangered,,,0,0,0,ET
arch1244,Archi,,42.3239,46.8267,arch1244,aqc,nakh1245,lezg1248,False,language,definitely endangered,,,0,0,0,RU
argo1244,Argobba,,10.6596,39.756,argo1244,agj,afro1255,amha1244,False,language,vulnerable,,,0,0,0,ET
