ID,Language_ID,Parameter_ID,Value,Source_Language_ID,Inventory_ID,OnlyInLoanwords,Result,NewDistinction,PhonemeComments
1,abau1245,1,d̠ʒ,tokp1240,1,yes,new phoneme,affricate,
2,abau1245,2,t,tokp1240,1,no,phonologization of allophone,no,allophone of /r/ in native phonology
3,abui1241,3,ɡ,"stan1306,indo1316",2,yes,new phoneme,no,Source language: Papuan Malay?
4,abui1241,4,ɟ,"stan1306,indo1316",2,yes,new phoneme,affricate,Source language: Papuan Malay?
5,abui1241,5,ts,"stan1306,indo1316",2,yes,new phoneme,affricate,"QUESTION: the author gives /c/ but it is positioned as an affricate, so probably /ts/? Source language: Papuan Malay?"
6,abun1252,6,d̠ʒ,stan1306,3,yes,new phoneme,affricate,Source language: Papuan Malay?
7,abun1252,7,n̠d̠ʒ,stan1306,3,yes,new phoneme,affricate,"prenasalisation is distinctive in Abau, appears as cluster in Malay. Source language: Papuan Malay?"
8,achi1257,8,f,arab1395,4,yes,new phoneme,no,often as /β/
9,achi1257,9,ʃ,,4,no,other distributional change,no,appears in two interjections
10,agua1253,10,ɾ,"stan1288,huam1247",5,no,new phoneme,"tap, rhotic","there is a native phoneme /ɾ/, attested in very few words mostly onomatopeic which has an allophone /l/. the distinction between /ɾ/ and /l/ is saved in spanish loans. /ɾ/ appears in several names taken from Huambisa. the phoneme /ɾ/ is not associated with historical Chicham rhotic."
11,musa1266,11,ɾ,tokp1240,6,no,phonologization of allophone,"flap, liquid",allophone of /d/ in native phonology
12,akaj1239,12,h,anda1280,7,unknown,new phoneme,glottal,"aspirasion is phonemic, language is used only within code-switching"
13,aleu1260,13,b,"russ1263,stan1293",8,yes,new phoneme,voicing in plosives,"in older loanwords rendered as /m/ or /m̥/, later as /p/ (also borrowed)"
14,aleu1260,14,d,"russ1263,stan1293",8,yes,new phoneme,voicing in plosives,"alternating individually with the native dental fricative, in older loanwords rendered as /t/"
15,aleu1260,15,e,"russ1263,stan1293",8,no,new phoneme,mid vowels,"occurs in native words allophonically, recent borrowing has broadened its distribution"
16,aleu1260,16,eː,"russ1263,stan1293",8,no,new phoneme,mid vowels,"occurs in native words allophonically, recent borrowing has broadened its distribution"
17,aleu1260,17,f,"russ1263,stan1293",8,yes,new phoneme,labiodental,"in older loanwords rendered as /m/ or /m̥/, later as /p/ (also borrowed)"
